ក	kɑɑ
ពំនៀរ	pum\.niə
ពំនោល	pum\.nool
ពំឡើង	pum\.laəŋ
ព្នាយ	pniej
ព្និល	pnɨl
ព្នៀត	pniət
ព្យុះ	pjuh
ព្យួរ	pjuə
ព្រង់	pruŋ
ព្រនម	prɔ\.nɔɔm
ព្រនរ	prɔ\.nɔɔ
ព្រមរ	prɔ\.mɔɔ
ព្រលយ	prɔ\.lɔɔj
ព្រលះ	prɔ\.leah
ព្រាង	prieŋ
ព្រាច	priec
ព្រាន	prien
ព្រាប	priep
ព្រាម	priem
ព្រាយ	priej
ព្រាល	priel
ព្រាវ	priew
ព្រាំ	proam
ព្រិច	prɨc
ព្រិញ	prɨɲ
ព្រិល	prɨl
ព្រីក	priik
ព្រីង	priiŋ
ព្រឹក	prɨk
ព្រឹប	prɨp
ព្រឹម	prɨm
ព្រឹល	prɨl
ព្រឺស	prɨɨh
ព្រឺះ	prɨɨh
ព្រុក	pruk
ព្រុយ	pruj
ព្រុល	prul
ព្រូត	pruut
ព្រូន	pruun
ព្រូស	pruuh
ព្រួក	pruək
ព្រួច	pruəc
ព្រួញ	pruəɲ
ព្រួត	pruət
ព្រួម	pruəm
ព្រួយ	pruəj
ព្រួល	pruəl
ព្រួស	pruəh
ព្រើត	prəət
ព្រើម	prəəm
ព្រើល	prəəl
ព្រើស	prəəh
ព្រៀច	priəc
ព្រៀប	priəp
ព្រេង	preeŋ
ព្រេច	preec
ព្រេន	preen
ព្រែក	prɛɛk
ព្រែល	prɛɛl
ព្រោក	prook
ព្រោង	prooŋ
ព្រោន	proon
ព្រោះ	pruəh
ព្លុក	pluk
ព្លែម	plɛɛm
ភក្ដិ	pʰɔ\.kɗeʔ
ភង្គី	pʰuŋ\.kii
ភស្តុ	pʰɔ\.stoʔ
ភ្ងក់	pŋuək
ភ្ងប់	pŋup
ភ្ងារ	pŋie
ភ្ងាស	pŋieh
ភ្ងូត	pŋuut
ភ្ងើក	pŋəək
ភ្ងើយ	pŋəəj
ភ្ជង់	pcuŋ
ភ្ជល់	pcul
ភ្ជាំ	pcoam
ភ្ជិត	pcɨt
ភ្ជុំ	pcum
ភ្ជួរ	pcuə
ភ្ជើញ	pcəəɲ
ភ្ជោក	pcook
ភ្ញច់	pɲuc
ភ្ញល់	pɲul
ភ្ញៀវ	pɲiəw
ភ្នក់	pnuək
ភ្នាន	pnien
ភ្នាស	pnieh
ភ្នាំ	pnoam
ភ្នើន	pnəən
ភ្នេន	pneen
ភ្នែក	pnɛɛk
ភ្នែន	pnɛɛn
ភ្នែល	pnɛɛl
ភ្មាស	pmieh
ភ្រុស	pruh
ភ្លាង	plieŋ
ភ្លាម	pliem
ភ្លាវ	pliew
ភ្លឹក	plɨk
ភ្លឹង	plɨŋ
ភ្លឹប	plɨp
ភ្លឹម	plɨm
ភ្លឹះ	plɨh
ភ្លុក	pluk
ភ្លុង	pluŋ
ភ្លូក	pluuk
ភ្លូច	pluuc
ភ្លួត	pluət
ភ្លើក	pləək
ភ្លើង	pləəŋ
ភ្លើន	pləən
ភ្លើយ	pləəj
ភ្លៀក	pliək
ភ្លៀង	pliəŋ
ភ្លេង	pleeŋ
ភ្លេច	pleec
ភ្លែត	plɛɛt
ភ្លែម	plɛɛm
ភ្លែល	plɛɛl
ភ្លោះ	pluəh
ភ្សាំ	psoam
ម៉ាក់	mak
ម៉ាច់	mac
ម៉ាត់	mat
ម៉ាំង	maŋ
ម្កាល	mkaal
ម្ខាង	mkʰaaŋ
ម្ង៉ៃ	mŋaj
ម្ចត់	mcɑt
ម្ចាន	mcaan
ម្ជុល	mcul
ម្ជូរ	mcuu
ម្ដាយ	mɗaaj
ម្ដុំ	mɗom
ម្ដេច	mɗeec
ម្ទេស	mteeh
ម្នាង	mnieŋ
ម្នាល	mniel
ម្និល	mnɨl
ម្នេញ	mneeɲ
ម្យប់	mjup
ម្យាម	mjiem
ម្រាម	mriem
ម្រីក	mriik
ម្រុម	mrum
ម្រុំ	mrum
ម្រេញ	mreeɲ
ម្រែង	mrɛɛŋ
ម្រោម	mroom
ម្លប់	mlup
ម្លាយ	mliej
ម្លឺត	mlɨɨt
ម្សិល	msəl
ម្សៀត	msiət
ម្សេវ	mseew
ម្ហូប	mhoop
ម្ហើប	mhaəp
ម្ហេប	mheep
ម្ហេះ	mheh
យក្សា	jɔ\.ksaa
យក្សី	jɔ\.ksəj
យ៉ាប់	jap
រគាំង	rɔ\.keaŋ
រឃាំង	rɔ\.kʰeaŋ
រងាក់	rɔ\.ŋeak
រងាន់	rɔ\.ŋoan
រងាប់	rɔ\.ŋoap
រង៉ឺត	rɔ\.ŋəət
រង៉ូវ	rɔ\.ŋoow
រង៉ោម	rɔ\.ŋaom
រង្គើ	ruŋ\.kəə
រង្គំ	ruŋ\.kum
រង្វះ	ruŋ\.weah
រញ៉ាំ	rɔ\.ɲam
រញ៉ិម	rɔ\.ɲəm
រញ៉ិល	rɔ\.ɲəl
រដាក់	rɔ\.ɗak
រដាច់	rɔ\.ɗac
រណ្ដៅ	run\.ɗaw
រណ្ដំ	run\.ɗɑm
រតាត់	rɔ\.tat
រត្នា	rɔ\.tnaa
រទាំង	rɔ\.teaŋ
រនាស់	rɔ\.noah
រនាំង	rɔ\.neaŋ
រន្ទា	run\.tie
រន្ទឺ	run\.tɨɨ
រន្ទះ	run\.teah
របាំង	rɔ\.ɓaŋ
រប៉ាយ	rɔ\.paaj
រប៉ោយ	rɔ\.paoj
រពាក់	rɔ\.peak
រមាត់	rɔ\.moat
រមាស់	rɔ\.moah
រមាំង	rɔ\.meaŋ
រម៉ង់	rɔ\.mɑŋ
រម៉ិង	rɔ\.məŋ
រម៉ឹម	rɔ\.məm
រម៉ោក	rɔ\.maok
រម្ងក	rum\.ŋɔɔk
រម្លំ	rum\.lum
រម្ហែ	rum\.hae
រម្អា	rum\.ʔaa
រយ៉ិល	rɔ\.jəl
រលាក់	rɔ\.leak
រលាត់	rɔ\.loat
រលាស់	rɔ\.loah
រលាំង	rɔ\.leaŋ
រវាន់	rɔ\.woan
រវាំង	rɔ\.weaŋ
រវ៉ក់	rɔ\.wɑk
រវ៉ិក	rɔ\.wək
រវ៉ូស	rɔ\.wooh
រវ៉ើក	rɔ\.waək
រវ៉ោច	rɔ\.waoc
រវ៉ោប	rɔ\.waop
រសាត់	rɔ\.sat
រស្មី	rɔ\.sməj
រហាក់	rɔ\.hak
រហាត់	rɔ\.hat
រហាល់	rɔ\.hal
រហ៊ិះ	rɔ\.hih
រហ៊ឹម	rɔ\.hɨm
រហ៊ឹះ	rɔ\.hɨh
រហ៊ុម	rɔ\.hum
រហ៊ុះ	rɔ\.huh
រឡាក់	rɔ\.lak
រអ៊ុះ	rɔ\.ʔuh
រំកិល	rum\.kəl
រំខាន	rum\.kʰaan
រំគាយ	rum\.kiej
រំគាល	rum\.kiel
រំគេញ	rum\.keeɲ
រំងាច	rum\.ŋiec
រំងើក	rum\.ŋəək
រំចាក	rum\.caak
រំចេក	rum\.ceek
រំជីក	rum\.ciik
រំជួល	rum\.cuəl
រំជើប	rum\.cəəp
រំជេញ	rum\.ceeɲ
រំជែក	rum\.cɛɛk
រំដាក	rum\.ɗaak
រំដួល	rum\.ɗuəl
រំដេក	rum\.ɗeek
រំដេង	rum\.ɗeeŋ
រំដេញ	rum\.ɗeeɲ
រំដោះ	rum\.ɗɑh
រំបល់	rum\.ɓɑl
រំពត់	rum\.put
រំពឹង	rum\.pɨŋ
រំពុះ	rum\.puh
រំពើក	rum\.pəək
រំពើន	rum\.pəən
រំពេច	rum\.peec
រំពេន	rum\.peen
រំភាយ	rum\.pʰiej
រំភើក	rum\.pʰəək
រំភើប	rum\.pʰəəp
រំភើយ	rum\.pʰəəj
រំយាក	rum\.jiek
រំយីក	rum\.jiik
រំយោល	rum\.jool
រំលត់	rum\.lut
រំលប់	rum\.lup
រំលស់	rum\.luəh
រំលាក	rum\.liek
រំលាង	rum\.lieŋ
រំលាយ	rum\.liej
រំលិច	rum\.lɨc
រំលីង	rum\.liiŋ
រំលឹក	rum\.lɨk
រំលុង	rum\.luŋ
រំលុប	rum\.lup
រំលុះ	rum\.luh
រំលូត	rum\.luut
រំលើក	rum\.ləək
រំលើង	rum\.ləəŋ
រំលៀក	rum\.liək
រំលៀង	rum\.liəŋ
រំលេច	rum\.leec
រំលេប	rum\.leep
រំលេម	rum\.leem
រំលេះ	rum\.leh
រំលែក	rum\.lɛɛk
រំលែះ	rum\.lɛh
រំលោក	rum\.look
រំលោង	rum\.looŋ
រំលោភ	rum\.loopʰ
រំសាយ	rum\.saaj
រំសុស	rum\.soh
រំសេវ	rum\.seew
រំសោះ	rum\.sɑh
រំហាច	rum\.haac
រំហុក	rum\.hok
រំហូត	rum\.hoot
រំហូរ	rum\.hoo
រំហួត	rum\.huət
រំហើយ	rum\.haəj
រំហោក	rum\.haok
រំអិល	rum\.ʔəl
រំអុក	rum\.ʔok
រំអួយ	rum\.ʔuəj
រំអើក	rum\.ʔaək
រំអែង	rum\.ʔaeŋ
រ៉ាត់	rat
រ៉ាប់	rap
លន្តែ	lun\.tae
លម្ហែ	lum\.hae
លម្អង	lum\.ʔɑɑŋ
លំគេញ	lum\.keeɲ
លំចង់	lum\.cɑŋ
លំដោយ	lum\.ɗaoj
លំទោន	lum\.toon
លំនាច	lum\.niec
លំនាំ	lum\.noam
លំនឹង	lum\.nɨŋ
លំបាក	lum\.ɓaak
លំបិន	lum\.ɓən
លំបេក	lum\.ɓeek
លំប៉ា	lum\.paa
លំផូង	lum\.pʰooŋ
លំពង់	lum\.puŋ
លំពស់	lum\.puəh
លំពើន	lum\.pəən
លំពែង	lum\.pɛɛŋ
លំហាច	lum\.haac
លំហុក	lum\.hok
លំហួត	lum\.huət
លំហើយ	lum\.haəj
លំហោក	lum\.haok
លំអក់	lum\.ʔɑk
លំអន់	lum\.ʔɑn
លំអិត	lum\.ʔət
លំអុត	lum\.ʔot
លំអូត	lum\.ʔoot
លំអៀង	lum\.ʔiəŋ
ល្កក់	lkɑk
ល្ខោន	lkʰaon
ល្គាយ	lkiej
ល្គឹក	lkɨk
ល្គេន	lkeen
ល្ងង់	lŋuŋ
ល្ងាច	lŋiec
ល្ងៀង	lŋiəŋ
ល្ងៀម	lŋiəm
ល្បក់	lɓɑk
ល្បត់	lɓɑt
ល្បប់	lɓɑp
ល្បាញ	lɓaaɲ
ល្បាត	lɓaat
ល្បាយ	lɓaaj
ល្បិច	lɓəc
ល្បុង	lɓoŋ
ល្បួង	lɓuəŋ
ល្បើក	lɓaək
ល្បឿន	lɓɨən
ល្បែង	lɓaeŋ
ល្បោយ	lɓaoj
ល្បោះ	lɓɑh
ល្មាស	lmieh
ល្មិច	lmɨc
ល្មុង	lmuŋ
ល្មុត	lmut
ល្មូន	lmuun
ល្មួច	lmuəc
ល្មួត	lmuət
ល្មើស	lməəh
ល្មឿង	lmɨəŋ
ល្មឿយ	lmɨəj
ល្មៀត	lmiət
ល្មេច	lmeec
ល្មែះ	lmɛh
ល្មោភ	lmoopʰ
ល្ម៉ើ	lmaə
ល្វក់	lwuək
ល្វន់	lwun
ល្វីង	lwiiŋ
ល្វឹង	lwɨŋ
ល្វើយ	lwəəj
ល្វៀង	lwiəŋ
ល្វែង	lwɛɛŋ
ល្វែត	lwɛɛt
ល្ហក់	lhɑk
ល្ហាច	lhaac
ល្ហាល	lhaal
ល្ហឹម	lhəm
ល្ហុង	lhoŋ
ល្ហួត	lhuət
ល្ហើយ	lhaəj
ល្ហេវ	lheew
ល្ហែម	lhaem
ល្ហោល	lhaol
ល្ហោស	lhaoh
ល្អក់	lʔɑk
ល្អន់	lʔɑn
ល្អាង	lʔaaŋ
ល្អាត	lʔaat
ល្អាន	lʔaan
ល្អិត	lʔət
ល្អិន	lʔən
ល្អូក	lʔook
ល្អូត	lʔoot
ល្អួត	lʔuət
ល្អៀង	lʔiəŋ
ល្អៀច	lʔiəc
ល្អោច	lʔaoc
ល្អោញ	lʔaoɲ
ល្អោម	lʔaom
វ៉ាប់	wap
វ៉ាល់	wal
វ្ហើយ	whaəj
សង្កែ	sɑŋ\.kae
សង្ឃក	sɑŋ\.kʰɔɔk
សង្ឃា	sɑŋ\.kʰie
សង្រៃ	sɑŋ\.raj
សង្ហា	sɑŋ\.haa
សច្ចា	sɑ\.ccaa
សណ្ដក	sɑn\.ɗɑɑk
សណ្ដា	sɑn\.ɗaa
សណ្ដំ	sɑn\.ɗɑm
សត្យា	sɑ\.tjaa
សត្រី	sɑ\.trəj
សត្វា	sɑ\.twaa
សន្ទៃ	sɑn\.tej
សន្ទះ	sɑn\.teah
សន្ធិ	sɑn\.tʰiʔ
សន្ធៃ	sɑn\.tʰej
សន្ធោ	sɑn\.tʰoo
សន្ធៅ	sɑn\.tʰɨw
សន្ធំ	sɑn\.tʰum
សន្យា	sɑn\.jaa
សន្សែ	sɑn\.sae
សន្សំ	sɑn\.sɑm
សម្កក	sɑm\.kɑɑk
សម្គម	sɑm\.kɔɔm
សម្ងំ	sɑm\.ŋɑm
សម្ដី	sɑm\.ɗəj
សម្តត	sɑm\.tɑɑt
សម្ទល	sɑm\.tɔɔl
សម្បក	sɑm\.ɓɑɑk
សម្បថ	sɑm\.ɓɑɑtʰ
សម្បា	sɑm\.ɓaa
សម្មត	sɑm\.mɑɑt
សម្រក	sɑm\.rɑɑk
សម្រប	sɑm\.rɑɑp
សម្លប	sɑm\.lɑɑp
សម្អក	sɑm\.ʔɑɑk
សស្លោ	sɑ\.slao
សំកាក	sɑm\.kaak
សំកុក	sɑm\.kok
សំកុង	sɑm\.koŋ
សំកុល	sɑm\.kol
សំកូញ	sɑm\.kooɲ
សំកូវ	sɑm\.koow
សំកេក	sɑm\.keek
សំកោក	sɑm\.kaok
សំគិស	sɑm\.kih
សំគីម	sɑm\.kiim
សំគុល	sɑm\.kul
សំគែម	sɑm\.kɛɛm
សំគោក	sɑm\.kook
សំងាច	sɑm\.ŋaac
សំងើច	sɑm\.ŋaəc
សំដិល	sɑm\.ɗəl
សំដឹង	sɑm\.ɗəŋ
សំដឺត	sɑm\.ɗəət
សំដើង	sɑm\.ɗaəŋ
សំដែង	sɑm\.ɗaeŋ
សំដោះ	sɑm\.ɗɑh
សំណង់	sɑm\.nɑŋ
សំណល់	sɑm\.nɑl
សំណាក	sɑm\.naak
សំណាង	sɑm\.naaŋ
សំណាញ	sɑm\.naaɲ
សំណាប	sɑm\.naap
សំណាម	sɑm\.naam
សំណិង	sɑm\.nəŋ
សំណឹក	sɑm\.nək
សំណុស	sɑm\.noh
សំណុំ	sɑm\.nom
សំណុះ	sɑm\.noh
សំណូក	sɑm\.nook
សំណូម	sɑm\.noom
សំណួរ	sɑm\.nuə
សំណើច	sɑm\.naəc
សំណើម	sɑm\.naəm
សំណេះ	sɑm\.neh
សំណែន	sɑm\.naen
សំណែព	sɑm\.naep
សំណែស	sɑm\.naeh
សំណោក	sɑm\.naok
សំតុល	sɑm\.tol
សំតេត	sɑm\.teet
សំតែក	sɑm\.taek
សំតោក	sɑm\.taok
សំទក់	sɑm\.tuək
សំទង់	sɑm\.tuŋ
សំទាញ	sɑm\.tieɲ
សំទារ	sɑm\.tie
សំទីក	sɑm\.tiik
សំទុះ	sɑm\.tuh
សំទូង	sɑm\.tuuŋ
សំទើញ	sɑm\.təəɲ
សំទេះ	sɑm\.teh
សំទែល	sɑm\.tɛɛl
សំទែះ	sɑm\.tɛh
សំនឹក	sɑm\.nək
សំនួន	sɑm\.nuən
សំនៀង	sɑm\.niəŋ
សំបារ	sɑm\.ɓaa
សំបុក	sɑm\.ɓok
សំបួរ	sɑm\.ɓuə
សំបែង	sɑm\.ɓaeŋ
សំបោរ	sɑm\.ɓao
សំផិង	sɑm\.pʰəŋ
សំពង់	sɑm\.puŋ
សំពត់	sɑm\.put
សំពាយ	sɑm\.piej
សំពិន	sɑm\.pɨn
សំពីង	sɑm\.piiŋ
សំពឹក	sɑm\.pɨk
សំពុង	sɑm\.puŋ
សំពៀត	sɑm\.piət
សំពេះ	sɑm\.peh
សំពែះ	sɑm\.pɛh
សំពោង	sɑm\.pooŋ
សំពោច	sɑm\.pooc
សំភោរ	sɑm\.pʰoo
សំយាក	sɑm\.jaak
សំយាប	sɑm\.jaap
សំយាយ	sɑm\.jaaj
សំយុង	sɑm\.joŋ
សំយេះ	sɑm\.jeh
សំរាជ	sɑm\.raac
សំរាម	sɑm\.raam
សំរុង	sɑm\.roŋ
សំរូប	sɑm\.roop
សំរៀម	sɑm\.riəm
សំរោង	sɑm\.raoŋ
សំលៀង	sɑm\.liəŋ
សំវាស	sɑm\.waah
សំវេគ	sɑm\.week
សំសារ	sɑm\.saa
សំឡាញ	sɑm\.laaɲ
សំឡេង	sɑm\.leeŋ
សំឡេះ	sɑm\.leh
សំឡែះ	sɑm\.laeh
សំអប់	sɑm\.ʔɑp
សំអាង	sɑm\.ʔaaŋ
សំអាត	sɑm\.ʔaat
សំអិត	sɑm\.ʔət
សំអុយ	sɑm\.ʔoj
សំអុះ	sɑm\.ʔoh
សំអេក	sɑm\.ʔeek
សំអែក	sɑm\.ʔaek
សំអែល	sɑm\.ʔael
សំអោក	sɑm\.ʔaok
ស្កប់	skɑp
ស្កល់	skɑl
ស្កាក	skaak
ស្កាញ	skaaɲ
ស្កាត	skaat
ស្ការ	skaa
ស្កាល	skaal
ស្កាំ	skam
ស្កិល	skəl
ស្កុង	skoŋ
ស្កុន	skon
ស្កុយ	skoj
ស្កុល	skol
ស្កូញ	skooɲ
ស្កូវ	skoow
ស្កួយ	skuəj
ស្កើក	skaək
ស្កៀប	skiəp
ស្គន់	skun
ស្គាយ	skiej
ស្គារ	skie
ស្គឹះ	skɨh
ស្គុយ	skuj
ស្គុល	skul
ស្គុស	skuh
ស្គុះ	skuh
ស្គួយ	skuəj
ស្គោក	skook
ស្ងប់	sŋɑp
ស្ងាច	sŋaac
ស្ងាប	sŋaap
ស្ងួត	sŋuət
ស្ងួន	sŋuən
ស្ងើក	sŋaək
ស្ងើច	sŋaəc
ស្ងើន	sŋaən
ស្ងៀម	sŋiəm
ស្ងោរ	sŋao
ស្ញក់	sɲɑk
ស្ញប់	sɲɑp
ស្ញាញ	sɲaaɲ
ស្ញិញ	sɲəɲ
ស្ញុក	sɲok
ស្ញុរ	sɲo
ស្ញូញ	sɲooɲ
ស្ញើប	sɲaəp
ស្ញេញ	sɲeeɲ
ស្ញែង	sɲaeŋ
ស្ញោរ	sɲao
ស្ដាយ	sɗaaj
ស្ដារ	sɗaa
ស្ដាំ	sɗam
ស្ដឹង	sɗəŋ
ស្ដឺត	sɗəət
ស្ដុក	sɗok
ស្ដូក	sɗook
ស្ដួច	sɗuəc
ស្ដើង	sɗaəŋ
ស្ដៀង	sɗiəŋ
ស្ដៀន	sɗiən
ស្ដេច	sɗeec
ស្ដែង	sɗaeŋ
ស្ដោះ	sɗɑh
ស្តឹក	stək
ស្តុក	stok
ស្តុល	stol
ស្តេត	steet
ស្តែក	staek
ស្តែត	staet
ស្តោក	staok
ស្ទក់	stuək
ស្ទង់	stuŋ
ស្ទន់	stun
ស្ទប់	stup
ស្ទល់	stul
ស្ទាញ	stieɲ
ស្ទាប	stiep
ស្ទាវ	stiew
ស្ទិល	stɨl
ស្ទីក	stiik
ស្ទឹង	stɨŋ
ស្ទឹម	stɨm
ស្ទឹល	stɨl
ស្ទុង	stuŋ
ស្ទុយ	stuj
ស្ទុល	stul
ស្ទុះ	stuh
ស្ទូង	stuuŋ
ស្ទូច	stuuc
ស្ទូរ	stuu
ស្ទួន	stuən
ស្ទួយ	stuəj
ស្ទើង	stəəŋ
ស្ទើញ	stəəɲ
ស្ទើត	stəət
ស្ទើរ	stəə
ស្ទៀង	stiəŋ
ស្ទេង	steeŋ
ស្ទេញ	steeɲ
ស្ទេះ	steh
ស្ទែត	stɛɛt
ស្ទែល	stɛɛl
ស្ទែះ	stɛh
ស្ទោក	stook
ស្ទោង	stooŋ
ស្ទោះ	stuəh
ស្នប់	snɑp
ស្នាច	snaac
ស្នាប	snaap
ស្នាម	snaam
ស្នាយ	snaaj
ស្នាល	snaal
ស្និត	snət
ស្និម	snəm
ស្នឹង	snəŋ
ស្នុំ	snom
ស្នូក	snook
ស្នូរ	snoo
ស្នូល	snool
ស្នួល	snuəl
ស្នៀត	sniət
ស្នែង	snaeŋ
ស្បង់	sɓɑŋ
ស្បាត	sɓaat
ស្បិត	sɓət
ស្បឺត	sɓəət
ស្បុរ	sɓo
ស្បូន	sɓoon
ស្បូវ	sɓoow
ស្បើម	sɓaəm
ស្បើយ	sɓaəj
ស្បៀង	sɓiəŋ
ស្បេត	sɓeet
ស្បែក	sɓaek
ស្បែង	sɓaeŋ
ស្បែប	sɓaep
ស្បោង	sɓaoŋ
ស្ប៉ត	spɑɑt
ស្ពង់	spuŋ
ស្ពាន	spien
ស្ពាយ	spiej
ស្ពីង	spiiŋ
ស្ពឹក	spɨk
ស្ពឹង	spɨŋ
ស្ពុច	spuc
ស្ពុយ	spuj
ស្ពុរ	spu
ស្ពើន	spəən
ស្ពៀត	spiət
ស្ពេះ	speh
ស្ពែត	spɛɛt
ស្ពែះ	spɛh
ស្ពោត	spoot
ស្ពោរ	spoo
ស្មត់	smɑt
ស្មន់	smɑn
ស្មាញ	smaaɲ
ស្មាន	smaan
ស្មិញ	sməɲ
ស្មិត	smət
ស្មិប	sməp
ស្មឹង	sməŋ
ស្មឹប	sməp
ស្មឹម	sməm
ស្មឺប	sməəp
ស្មុយ	smoj
ស្មុំ	smom
ស្មូញ	smooɲ
ស្មូត	smoot
ស្មូន	smoon
ស្មូម	smoom
ស្មូរ	smoo
ស្មឿក	smɨək
ស្មៀន	smiən
ស្មេញ	smeeɲ
ស្មេរ	smee
ស្មែក	smaek
ស្មែង	smaeŋ
ស្មោក	smaok
ស្មោង	smaoŋ
ស្មោញ	smaoɲ
ស្មោះ	smɑh
ស្យុល	sjol
ស្រករ	srɑ\.kɑɑ
ស្រកា	srɑ\.kaa
ស្រកី	srɑ\.kəj
ស្រក់	srɑk
ស្រគំ	srɑ\.kum
ស្រងក	srɑ\.ŋɑɑk
ស្រងើ	srɑ\.ŋaə
ស្រងែ	srɑ\.ŋae
ស្រងៅ	srɑ\.ŋaw
ស្រង់	srɑŋ
ស្រដី	srɑ\.ɗəj
ស្រទប	srɑ\.tɔɔp
ស្រទំ	srɑ\.tum
ស្រន់	srɑn
ស្រប់	srɑp
ស្រមក	srɑ\.mɑɑk
ស្រមើ	srɑ\.maə
ស្រមៃ	srɑ\.maj
ស្រម៉	srɑɑm
ស្រយម	srɑ\.jɑɑm
ស្រលក	srɑ\.lɑɑk
ស្រលន	srɑ\.lɑɑn
ស្រលើ	srɑ\.laə
ស្រលះ	srɑ\.lah
ស្រល់	srɑl
ស្រវា	srɑ\.waa
ស្រស់	srɑh
ស្រឡក	srɑ\.lɑɑk
ស្រឡន	srɑ\.lɑɑn
ស្រឡើ	srɑ\.laə
ស្រឡៃ	srɑ\.laj
ស្រឡោ	srɑ\.lao
ស្រឡៅ	srɑ\.law
ស្រឡំ	srɑ\.lɑm
ស្រឡះ	srɑ\.lah
ស្រាង	sraaŋ
ស្រាញ	sraaɲ
ស្រាត	sraat
ស្រាយ	sraaj
ស្រាល	sraal
ស្រាវ	sraaw
ស្រាំ	sram
ស្រិច	srəc
ស្រិត	srət
ស្រិប	srəp
ស្រឹង	srəŋ
ស្រឹប	srəp
ស្រឹម	srəm
ស្រុក	srok
ស្រុង	sroŋ
ស្រុញ	sroɲ
ស្រុត	srot
ស្រុស	sroh
ស្រុះ	sroh
ស្រូត	sroot
ស្រូប	sroop
ស្រូល	srool
ស្រូស	srooh
ស្រួច	sruəc
ស្រួត	sruət
ស្រួប	sruəp
ស្រួយ	sruəj
ស្រួល	sruəl
ស្រើប	sraəp
ស្រឿង	srɨəŋ
ស្រៀក	sriək
ស្រៀវ	sriəw
ស្រេក	sreek
ស្រេង	sreeŋ
ស្រេច	sreec
ស្រេះ	sreh
ស្រែក	sraek
ស្រែង	sraeŋ
ស្រែស	sraeh
ស្រែះ	sraeh
ស្រោក	sraok
ស្រោង	sraoŋ
ស្រោច	sraoc
ស្រោប	sraop
ស្រោម	sraom
ស្រោល	sraol
ស្លក់	slɑk
ស្លង់	slɑŋ
ស្លន់	slɑn
ស្លាត	slaat
ស្លាប	slaap
ស្លាយ	slaaj
ស្លឹក	slək
ស្លឹង	sləŋ
ស្លឹប	sləp
ស្លឺត	sləət
ស្លុក	slok
ស្លុង	sloŋ
ស្លុត	slot
ស្លុប	slop
ស្លុយ	sloj
ស្លុះ	sloh
ស្លូញ	slooɲ
ស្លូត	sloot
ស្លើត	slaət
ស្លៀក	sliək
ស្លេក	sleek
ស្លេវ	sleew
ស្លេះ	sleh
ស្លែង	slaeŋ
ស្លែត	slaet
ស្លែវ	slaew
ស្លោក	slaok
ស្លោម	slaom
ស្វាង	swaaŋ
ស្វាត	swaat
ស្វាយ	swaaj
ស្វែង	swaeŋ
ស្វែត	swaet
ស្អប់	sʔɑp
ស្អាង	sʔaaŋ
ស្អាត	sʔaat
ស្អាន	sʔaan
ស្អិត	sʔət
ស្អុង	sʔoŋ
ស្អុយ	sʔoj
ស្អុះ	sʔoh
ស្អូច	sʔooc
ស្អៀច	sʔiəc
ស្អេក	sʔeek
ស្អែក	sʔaek
ស្អែល	sʔael
ហ្នឹង	hnəŋ
ហ្មត់	hmɑt
ហ្មាយ	hmaaj
ហ្មឺន	hməən
ហ្មូត	hmoot
ហ្លាក	hlaak
ហ្លាយ	hlaaj
ហ្លួង	hluəŋ
ហ្វង់	hwɑŋ
ហ្វារ	hwaa
ហ្វឹក	hwək
ហ្វូង	hwooŋ
អក្ខោ	ʔɑ\.kkʰao
អង្ករ	ʔɑŋ\.kɑɑ
អង្កឹ	ʔɑŋ\.kəʔ
អង្កែ	ʔɑŋ\.kae
អង្គទ	ʔɑŋ\.kɔɔt
អង្គរ	ʔɑŋ\.kɔɔ
អង្គា	ʔɑŋ\.kie
អង្គឺ	ʔɑŋ\.kɨɨ
អង្គែ	ʔɑŋ\.kɛɛ
អង្គំ	ʔɑŋ\.kum
អង្រែ	ʔɑŋ\.rae
អង្វរ	ʔɑŋ\.wɑɑ
អញ្ចង	ʔɑɲ\.cɑɑŋ
អញ្ជច	ʔɑɲ\.cɔɔc
អន្ដរ	ʔɑn\.ɗɑɑ
អន្តយ	ʔɑn\.tɑɑj
អន្ថម	ʔɑn\.tʰɑɑm
អន្ទង	ʔɑn\.tɔɔŋ
អន្ធោ	ʔɑn\.tʰoo
អន្លង	ʔɑn\.lɑɑŋ
អន្លើ	ʔɑn\.laə
អន្លៃ	ʔɑn\.laj
អន្សម	ʔɑn\.sɑɑm
អព្ភា	ʔɑ\.ppʰie
អព្យព	ʔɑ\.pjɔɔp
អយ្យា	ʔɑ\.jjie
អល្លោ	ʔɑ\.lloo
អស្មិ	ʔɑ\.smeʔ
អស្រី	ʔɑ\.srəj
អំណត់	ʔɑm\.nɑt
អំណស់	ʔɑm\.nɑh
អំណាច	ʔɑm\.naac
អំណឹះ	ʔɑm\.nəh
អំណោយ	ʔɑm\.naoj
អំនួត	ʔɑm\.nuət
អំបាត	ʔɑm\.ɓaat
អំបាយ	ʔɑm\.ɓaaj
អំបាល	ʔɑm\.ɓaal
អំបិល	ʔɑm\.ɓəl
អំបឹះ	ʔɑm\.ɓəh
អំបុក	ʔɑm\.ɓok
អំបូង	ʔɑm\.ɓooŋ
អំបូរ	ʔɑm\.ɓoo
អំបើះ	ʔɑm\.ɓaəh
អំបែង	ʔɑm\.ɓaeŋ
អំបោស	ʔɑm\.ɓaoh
អំបោះ	ʔɑm\.ɓɑh
